,Geneid,Ctrl_1,Ctrl_2,Lhx2_HD_EnR_1,Lhx2_HD_EnR_2
39917,ENSMUSG00000096627.1,0,0,0,0
39918,ENSMUSG00000078097.3,0,1,6,1
39919,ENSMUSG00000094733.1,1,1,0,0
39920,ENSMUSG00000093822.1,0,0,0,0
39921,ENSMUSG00000095620.7,0,0,0,0
39922,ENSMUSG00000075228.1,0,0,0,0
39923,ENSMUSG00000096823.1,0,0,0,0
39924,ENSMUSG00000071562.5,0,0,0,0
39925,ENSMUSG00000096186.1,0,0,0,0
39926,ENSMUSG00000079595.1,0,0,0,0
39927,ENSMUSG00000094972.1,0,0,0,0
39928,ENSMUSG00000088517.1,0,0,0,0
39929,ENSMUSG00000079594.2,1,0,3,1
39930,ENSMUSG00000095319.1,0,0,0,0
39931,ENSMUSG00000071561.2,2,7,4,1
39932,ENSMUSG00000087689.1,0,0,0,0
39933,ENSMUSG00000094639.1,0,0,0,0
39934,ENSMUSG00000095033.1,0,0,0,0
39935,ENSMUSG00000022902.7,3,4,2,3
39936,ENSMUSG00000094139.1,0,0,0,0
39937,ENSMUSG00000089117.1,0,0,0,0
39938,ENSMUSG00000054905.2,1,7,2,0
39939,ENSMUSG00000051980.13,5,7,2,2
39940,ENSMUSG00000089118.1,0,0,0,0
39941,ENSMUSG00000022901.13,16,43,31,46
39942,ENSMUSG00000022900.14,0,2,1,0
39943,ENSMUSG00000022899.8,447,1440,1518,1044
39944,ENSMUSG00000091786.1,2,7,13,6
39945,ENSMUSG00000095851.1,0,0,0,0
39946,ENSMUSG00000022838.13,17,8,22,26
39947,ENSMUSG00000022837.13,849,1003,1649,1746
39948,ENSMUSG00000034243.16,4595,4940,7989,8947
39949,ENSMUSG00000084834.1,30,24,56,47
39950,ENSMUSG00000022831.14,26,74,262,94
39951,ENSMUSG00000047746.14,0,13,0,1
39952,ENSMUSG00000034206.15,324,316,1107,764
39953,ENSMUSG00000022829.14,229,196,325,514
39954,ENSMUSG00000083420.1,0,0,0,0
39955,ENSMUSG00000022828.10,1153,1406,2060,2444
39956,ENSMUSG00000022827.14,217,253,502,474
